Date,Mean Area-Weighted Radiance
2013-08-02 00:00:00,281.0910373
2013-08-03 00:00:00,294.084332
2013-08-04 00:00:00,258.5323943
2013-08-05 00:00:00,168.2262084
2013-08-06 00:00:00,195.9205323
2013-08-07 00:00:00,277.6867028
2013-08-08 00:00:00,279.2883968
2013-08-09 00:00:00,259.8977931
2013-08-10 00:00:00,232.0801771
2013-08-11 00:00:00,174.0662375
2013-08-12 00:00:00,185.0616291
2013-08-13 00:00:00,205.653096
2013-08-14 00:00:00,188.5243057
2013-08-15 00:00:00,167.1275316
2013-08-16 00:00:00,161.2734614
2013-08-17 00:00:00,156.2094568
2013-08-18 00:00:00,160.2251166
2013-08-19 00:00:00,147.7747772
2013-08-20 00:00:00,255.1890183
2013-08-21 00:00:00,191.4723068
2013-08-22 00:00:00,149.654544
2013-08-23 00:00:00,167.4208605
2013-08-24 00:00:00,178.6136714
2013-08-25 00:00:00,185.325169
2013-08-26 00:00:00,180.1831649
2013-08-27 00:00:00,157.0932344
2013-08-28 00:00:00,159.3858526
2013-08-29 00:00:00,176.1938835
2013-08-30 00:00:00,177.2255255
2013-08-31 00:00:00,176.3863186
2013-09-01 00:00:00,110.3443605
2013-09-02 00:00:00,127.114198
2013-09-03 00:00:00,167.1001616
2013-09-04 00:00:00,187.3354835
2013-09-05 00:00:00,228.759241
2013-09-06 00:00:00,113.3789996
2013-09-07 00:00:00,131.9846245
2013-09-08 00:00:00,156.8379423
2013-09-09 00:00:00,167.6772665
2013-09-10 00:00:00,160.4458725
2013-09-11 00:00:00,155.1927256
2013-09-12 00:00:00,135.8052653
2013-09-13 00:00:00,133.426924
2013-09-14 00:00:00,153.089897
2013-09-15 00:00:00,186.7946637
2013-09-16 00:00:00,183.7137309
2013-09-17 00:00:00,133.8761247
2013-09-18 00:00:00,124.9214255
2013-09-19 00:00:00,154.1129609
2013-09-20 00:00:00,164.5470188
2013-09-21 00:00:00,179.6564084
2013-09-22 00:00:00,148.6142585
2013-09-23 00:00:00,132.709744
2013-09-24 00:00:00,151.4754445
2013-09-25 00:00:00,182.6869863
2013-09-26 00:00:00,192.9107705
2013-09-27 00:00:00,176.794889
2013-09-28 00:00:00,133.6451842
2013-09-29 00:00:00,128.7482069
2013-09-30 00:00:00,156.6284076
2013-10-01 00:00:00,160.2904524
2013-10-02 00:00:00,136.8965513
2013-10-03 00:00:00,143.3144441
2013-10-04 00:00:00,121.1863284
2013-10-05 00:00:00,159.3945972
2013-10-06 00:00:00,181.8838185
2013-10-07 00:00:00,157.339084
2013-10-08 00:00:00,167.4142084
2013-10-09 00:00:00,124.6086557
2013-10-10 00:00:00,155.0615721
2013-10-11 00:00:00,112.8714689
2013-10-12 00:00:00,180.7572809
2013-10-13 00:00:00,162.4169257
2013-10-14 00:00:00,165.645928
2013-10-15 00:00:00,139.8181045
2013-10-16 00:00:00,177.91818
2013-10-17 00:00:00,130.6052119
2013-10-18 00:00:00,150.9028832
2013-10-19 00:00:00,134.0229819
2013-10-20 00:00:00,123.7031193
2013-10-21 00:00:00,149.5438029
2013-10-22 00:00:00,153.6784411
2013-10-23 00:00:00,153.5393896
2013-10-24 00:00:00,152.6591597
2013-10-25 00:00:00,125.1514212
2013-10-26 00:00:00,139.697316
2013-10-27 00:00:00,160.3269048
2013-10-28 00:00:00,156.5967182
2013-10-29 00:00:00,136.8514154
2013-10-30 00:00:00,88.73959605
2013-10-31 00:00:00,87.53146593
2013-11-01 00:00:00,130.8421053
2013-11-02 00:00:00,102.757471
2013-11-03 00:00:00,95.72895603
2013-11-04 00:00:00,114.6590603
2013-11-05 00:00:00,112.5897863
2013-11-06 00:00:00,143.4907298
2013-11-07 00:00:00,148.5425607
2013-11-08 00:00:00,139.6344337
2013-11-09 00:00:00,122.7444776
2013-11-10 00:00:00,108.1181286
2013-11-11 00:00:00,108.8821633
2013-11-12 00:00:00,127.9872512
2013-11-13 00:00:00,174.7094828
2013-11-14 00:00:00,152.1581602
2013-11-15 00:00:00,119.7897497
2013-11-16 00:00:00,126.5182111
2013-11-17 00:00:00,141.208762
