name,datetime,Mean Area-Weighted Radiance
Guangzhou,2013/7/23,9.302461847
Guangzhou,2013/7/24,7.843501444
Guangzhou,2013/7/25,9.362783535
Guangzhou,2013/7/26,8.752821728
Guangzhou,2013/7/27,9.317367925
Guangzhou,2013/7/28,8.506260783
Guangzhou,2013/7/29,8.497354312
Guangzhou,2013/7/30,9.379196977
Guangzhou,2013/7/31,9.585669416
Guangzhou,2013/8/1,9.056119115
Guangzhou,2013/8/2,9.361740637
Guangzhou,2013/8/3,7.669034369
Guangzhou,2013/8/4,9.023940538
Guangzhou,2013/8/5,10.1917692
Guangzhou,2013/8/6,9.085629843
Guangzhou,2013/8/7,7.063030692
Guangzhou,2013/8/8,8.379651719
Guangzhou,2013/8/9,9.139358568
Guangzhou,2013/8/10,9.293577988
Guangzhou,2013/8/11,9.185433791
Guangzhou,2013/8/12,8.138741014
Guangzhou,2013/8/13,9.298984011
Guangzhou,2013/8/14,9.338466948
Guangzhou,2013/8/15,9.33867589
Guangzhou,2013/8/16,9.338466948
Guangzhou,2013/8/17,9.338729256
Guangzhou,2013/8/18,9.33867589
Guangzhou,2013/8/19,9.338466948
Guangzhou,2013/8/20,9.3397613
Guangzhou,2013/8/21,9.344244046
Guangzhou,2013/8/22,9.338729256
Guangzhou,2013/8/23,8.994041549
Guangzhou,2013/8/24,8.207832141
Guangzhou,2013/8/25,8.16428208
Guangzhou,2013/8/26,8.822846308
Guangzhou,2013/8/27,9.013004575
Guangzhou,2013/8/28,8.608050806
Guangzhou,2013/8/29,9.338729256
Guangzhou,2013/8/30,9.338736039
Guangzhou,2013/8/31,9.342098098
Guangzhou,2013/9/1,6.457935142
Guangzhou,2013/9/2,8.954455723
Guangzhou,2013/9/3,9.017230213
Guangzhou,2013/9/4,9.041533459
Guangzhou,2013/9/5,9.04302816
Guangzhou,2013/9/6,7.198401733
Guangzhou,2013/9/7,6.918824184
Guangzhou,2013/9/8,7.658556992
Guangzhou,2013/9/9,8.322399933
Guangzhou,2013/9/10,8.657067718
Guangzhou,2013/9/11,9.064987823
Guangzhou,2013/9/12,8.995403965
Guangzhou,2013/9/13,8.516171938
Guangzhou,2013/9/14,8.350199557
Guangzhou,2013/9/15,8.984822117
Guangzhou,2013/9/16,8.978755125
Guangzhou,2013/9/17,8.994348629
Guangzhou,2013/9/18,8.784594859
Guangzhou,2013/9/19,8.433008916
Guangzhou,2013/9/20,8.407499282
Guangzhou,2013/9/21,9.010408861
Guangzhou,2013/9/22,8.985430851
Guangzhou,2013/9/23,8.280975467
Guangzhou,2013/9/24,8.539962327
Guangzhou,2013/9/25,8.751562878
Guangzhou,2013/9/26,8.68928632
Guangzhou,2013/9/27,9.082748531
Guangzhou,2013/9/28,9.043754932
Guangzhou,2013/9/29,8.984961185
Guangzhou,2013/9/30,8.384089691
Guangzhou,2013/10/1,8.853905782
Guangzhou,2013/10/2,9.948426494
Guangzhou,2013/10/3,8.184217227
Guangzhou,2013/10/4,9.020982342
Guangzhou,2013/10/5,8.873815376
Guangzhou,2013/10/6,8.848471719
Guangzhou,2013/10/7,8.79292742
Guangzhou,2013/10/8,9.253827768
Guangzhou,2013/10/9,8.937323875
Guangzhou,2013/10/10,8.270633767
Guangzhou,2013/10/11,8.803599719
Guangzhou,2013/10/12,9.222151419
Guangzhou,2013/10/13,9.375706252
Guangzhou,2013/10/14,9.267395173
Guangzhou,2013/10/15,8.585691576
Guangzhou,2013/10/16,9.206420655
Guangzhou,2013/10/17,9.26620891
Guangzhou,2013/10/18,9.267526553
Guangzhou,2013/10/19,8.956421447
Guangzhou,2013/10/20,9.054350348
Guangzhou,2013/10/21,8.995040805
Guangzhou,2013/10/22,9.078901429
Guangzhou,2013/10/23,9.523060451
Guangzhou,2013/10/24,9.358086874
Guangzhou,2013/10/25,9.856799531
Guangzhou,2013/10/26,8.869468759
Guangzhou,2013/10/27,8.672893908
Guangzhou,2013/10/28,9.102148434
Guangzhou,2013/10/29,9.193619143
Guangzhou,2013/10/30,8.512947817
Guangzhou,2013/10/31,8.711131111
Guangzhou,2013/11/1,8.993674544
Guangzhou,2013/11/2,9.255039131
Guangzhou,2013/11/3,9.247936024
Guangzhou,2013/11/4,8.892698353
Guangzhou,2013/11/5,8.57739203
Guangzhou,2013/11/6,8.794526139
Guangzhou,2013/11/7,8.74734945
Guangzhou,2013/11/8,9.425076601
Guangzhou,2013/11/9,9.353941058
Guangzhou,2013/11/10,9.354365951
Guangzhou,2013/11/11,9.354418412
Guangzhou,2013/11/12,9.116028573
Guangzhou,2013/11/13,9.114164607
Guangzhou,2013/11/14,8.981676914
Guangzhou,2013/11/15,10.22505218
Guangzhou,2013/11/16,9.688592336
Guangzhou,2013/11/17,9.680494495
Guangzhou,2013/11/18,9.431796648
Guangzhou,2013/11/19,9.423541197
Guangzhou,2013/11/20,9.336339996
Guangzhou,2013/11/21,9.17321433
Guangzhou,2013/11/22,8.767745444
Guangzhou,2013/11/23,9.219296564
Guangzhou,2013/11/24,9.451064041
Guangzhou,2013/11/25,10.47638192
Guangzhou,2013/11/26,9.319864821
Guangzhou,2013/11/27,9.354476301
Guangzhou,2013/11/28,9.075625072
Guangzhou,2013/11/29,9.563136746
Guangzhou,2013/11/30,10.44022486
Guangzhou,2013/12/1,10.87540008
Guangzhou,2013/12/2,8.996865425
Guangzhou,2013/12/3,8.533613128
Guangzhou,2013/12/4,9.394206169
Guangzhou,2013/12/5,10.02761239
Guangzhou,2013/12/6,8.908618612
Guangzhou,2013/12/7,9.004621135
Guangzhou,2013/12/8,9.481740456
Guangzhou,2013/12/9,7.64770854
Guangzhou,2013/12/10,9.998358769
Guangzhou,2013/12/11,9.998844264
Guangzhou,2013/12/12,9.98718492
Guangzhou,2013/12/13,9.99878728
Guangzhou,2013/12/14,10.00034801
Guangzhou,2013/12/15,9.99106368
Guangzhou,2013/12/16,9.998844264
Guangzhou,2013/12/17,9.865707134
Guangzhou,2013/12/18,9.97051799
Guangzhou,2013/12/19,10.19670103
Guangzhou,2013/12/20,9.888746781
Guangzhou,2013/12/21,10.25801926
Guangzhou,2013/12/22,9.886745329
Guangzhou,2013/12/23,9.82237619
Guangzhou,2013/12/24,9.348832392
Guangzhou,2013/12/25,9.389988445
Guangzhou,2013/12/26,9.715795889
Guangzhou,2013/12/27,8.484387953
Guangzhou,2013/12/28,10.16511106
Guangzhou,2013/12/29,9.08499126
Guangzhou,2013/12/30,8.920607649
Guangzhou,2013/12/31,9.688602285
Guangzhou,2014/1/1,9.931117362
Guangzhou,2014/1/2,10.04772098
Guangzhou,2014/1/3,8.773047222
Guangzhou,2014/1/4,8.683310457
Guangzhou,2014/1/5,9.024144504
Guangzhou,2014/1/6,9.917740356
Guangzhou,2014/1/7,9.097079341
Guangzhou,2014/1/8,9.987125901
Guangzhou,2014/1/9,9.33367079
Guangzhou,2014/1/10,9.639875268
Guangzhou,2014/1/11,9.668639099
Guangzhou,2014/1/12,10.72535903
Guangzhou,2014/1/13,9.968212623
Guangzhou,2014/1/14,9.614674072
Guangzhou,2014/1/15,9.156647122
Guangzhou,2014/1/16,8.950266491
Guangzhou,2014/1/17,9.606158574
Guangzhou,2014/1/18,9.982069697
Guangzhou,2014/1/19,9.299334508
Guangzhou,2014/1/20,9.109412544
Guangzhou,2014/1/21,9.793440955
Guangzhou,2014/1/22,9.943113862
Guangzhou,2014/1/23,10.00016078
Guangzhou,2014/1/24,9.724045461
Guangzhou,2014/1/25,9.986126419
Guangzhou,2014/1/26,9.919954368
Guangzhou,2014/1/27,8.344900493
Guangzhou,2014/1/28,7.972813181
Guangzhou,2014/1/29,8.626814388
Guangzhou,2014/1/30,8.61974226
Guangzhou,2014/1/31,9.15662564
Guangzhou,2014/2/1,9.048424233
Guangzhou,2014/2/2,9.839528615
Guangzhou,2014/2/3,9.077224696
Guangzhou,2014/2/5,9.609647716
Guangzhou,2014/2/6,9.556267002
Guangzhou,2014/2/7,9.602850559
Guangzhou,2014/2/8,9.666593326
Guangzhou,2014/2/9,9.710000023
Guangzhou,2014/2/10,9.415318082
Guangzhou,2014/2/11,9.251598154
Guangzhou,2014/2/12,9.537522641
Guangzhou,2014/2/13,9.28048658
Guangzhou,2014/2/14,9.417919449
Guangzhou,2014/2/15,9.432410584
Guangzhou,2014/2/16,9.350585104
Guangzhou,2014/2/17,9.231477357
Guangzhou,2014/2/18,9.536738206
Guangzhou,2014/2/19,9.46287783
Guangzhou,2014/2/20,9.467151634
Guangzhou,2014/2/21,9.71844836
Guangzhou,2014/2/22,9.585316657
Guangzhou,2014/2/23,9.471133734
Guangzhou,2014/2/24,9.709080589
Guangzhou,2014/2/25,8.920291297
Guangzhou,2014/2/26,9.203073747
Guangzhou,2014/2/27,9.520884655
Guangzhou,2014/2/28,9.582135726
Guangzhou,2014/3/1,8.774695689
Guangzhou,2014/3/2,8.976367222
Guangzhou,2014/3/3,9.00877871
Guangzhou,2014/3/4,8.800877826
Guangzhou,2014/3/5,8.650304028
Guangzhou,2014/3/6,9.237707613
Guangzhou,2014/3/7,8.65379204
Guangzhou,2014/3/8,9.145647843
Guangzhou,2014/3/9,9.669463332
Guangzhou,2014/3/10,9.665581407
Guangzhou,2014/3/11,9.57995292
Guangzhou,2014/3/12,7.594017579
Guangzhou,2014/3/13,9.702567448
